French	iso-8859-1
#First line must have format:
#LANGNAME<TAB>ENCODING
###################################################
#Created by Monnier Svetlana
#Follow Up Mailing List Processor PRO 4.21.01
#Lang file version: 1.1
#Last modified 02/10/2006
###################################################
#Version 4.21
LINK_CLEAN	clean
REG_ERROR_NAME	Votre nom:
TEMPLATES_LOCATED_IN	Répertoire des templates - 
PREFERENCES_PAGE_TEMPLATE	Page de préférences de template
SENDING_DELAY_DESCR	Attention: Utilisez la valeur différente de zero à condition d’avoir des problèmes de performances de votre serveur ou la limite pour l’envoi des messages. Ce script va attendre avant d’envoyer chaque message de votre liste d’attente. Par exemple, votre serveur peut envoyer 10 messages par seconde (3600 messages/heure), si le délai est 1 seconde/message, le délai sera 3600 secondes = 10 heures et le script finira le mailing dans 11 heures. 
SENDING_DELAY	Délai entre envoi de chaque message en secondes 
REDIR_ALREADYREMOVED_DISCR	Cette valeur sera utilisée pour tous vos comptes 
REDIR_ALREADYREMOVED_TO	"Déjà désabonné" URL de la page
REDIR_ALREADYSUSCR_TO	"Déjà abonné" URL de la page
READ_MORE	Plus d’informations...
NO_MSGS_HISTORY_FOUND	Aucun message n’a été trouvé dans votre historique.
YOUR_WEB_HISTORY	Historique de vos messages.
RSS_DEF_ENC	Default – préféré 
RSS_SCRIPT_PARAM	Entrez les paramètres du script 
RSS_SCRIPT_URL	Entrez URL du script
RSS_TEXTINPUT	Entrez les paramètres du texte 
RSS_USETEXT_INPUT	Utilisez la section du texte 
RSS_ENCODING	Encodez les canaux
RSS_LANG	Langue du canal 
RSS_COPYLINE	Copyright texte
RSS_TITLE	Titre
RSS_DISCR	Description
RSS_URL	Votre URL du site
PERSONAL_RSS_LINK	En cliquant sur ce lien, votre prospect pourra s’abonner à RSS-feed personnel de vos messages 
PERSONAL_HTML_LINK	En cliquant sur ce lien, votre prospect pourra voir l’archive personnalisé de vos messages au format HTML 
TAGS_RSS_LINK_DISCR	Liens pour RSS personnalisé et l’archive des messages au format HTML 
TAGS_RSS_LINK	Liens RSS 
TAGS_HTML_LINK	lien vers archive HTML
SAVE_MESSAGE_IN_USER_HISTORY	Enregistrez le message en cours dans les RSS-feed personnalisés 
RSS_LINK	Lien vers votre page d’accueil
RSS_MAIN_SETTINGS	Configuration principale de RSS 
RSS_SETTINGS	RSS 2.0 Configuration du canal 
ACCOUNTMENU_HTML_RSS	RSS Canal
ACCOUNTMENU_HTML_RSS_DESCR	Ici vous pouvez installer votre RSS canal.
NOTIFY_ABOUT_MODIFICATIONS	Activez la notification d’admin:
ERROR_CONFIRM_SUBJ_NOT_DEFINED	Erreur: l’objet du message de confirmation n’est pas défini – SVP, vérifiez les options de votre compte 
ERROR_CONFIRM_BODY_NOT_DEFINED	Erreur: le texte du message de confirmation n’est pas défini - SVP, vérifiez les options de votre compte 
ERROR_NOT_ALLOWED_TO_MODIFY	Désolé, mais vous n’avait pas la permission de modifier les informations de contact 
ERROR_TAG_CONFIRM_REQUIRED	<B>[CONFIRM_URL]</B> tag requis
CONFIRMATION_MESSAGE_SUBJECT	Objet du message de confirmation
CONFIRMATION_MESSAGE_TEXT	Texte du message de confirmation
DISABLE_MODIFY_SERVICE	Restreindre l’accès des utilisateurs à la page de préférences:
DISABLE_MODIFY_SERVICE_DISCR	Accès permettant de modifier l’information de contact sera restreint  
ALLOW_MODIFY_MESSAGES_FORMAT	Permet de changer le format de message:
MODIFY_CONTACT_INFORMATION	Modification de l’information de contact par les abonnés 
SAVE_CONTACT_INFO	Mettre à jour vos paramètres 
NAME	Votre nom
YOUR_CONTACT_INFO	Vos préférences
CHANGE_YOUR_PREF	Changer Vos préférences 
HTML_ONLY	uniquement HTML 
TEXT_ONLY	uniquement TEXT 
HTML_AND_TEXT	HTML et TEXT
MSG_TEXT_FORMAT	Votre message au format TEXT 
MSG_HTML_FORMAT	Votre message au format HTML 
MSG_RSS_FORMAT	Votre texte de description de RSS-feed (500 caractères max.)
DEFAULT_MESSAGE_TYPE	Le format de message par défaut 
DEFAULT_MESSAGE_TYPE_DISCR	Si vos abonnés n’ont pas sélectionne le format de message préféré, ils vont recevoir les messages au format défini par défaut  
INSERT_SPECIAL_TAG	<br>Cliquez sur le lien ci-dessous pour insérer les tags personnalisés 
CLICK_HERE_TO_INSERT	Cliquez ici pour insérer le tag spécial
TAGS_CHANGE_CONTACT_INFO	Modifier l’info de contact 
TAGS_UNSUBSCRIBE_LINK	Lien pour se désabonner 
TAGS_FNAME	Prénom
TAGS_FULLNAME	Nom complet 
TAGS_DATE	Date
TAGS_REGDATE	Date d’enregistrement 
TAGS_EMAIL	Email
TAGS_PERSONAL_INFO	Information personnelle 
TAGS_CUSTOM_FIELDS	Champs personnalisés 
