German	utf-8
#First line must have format:
#LANGNAME<TAB>ENCODING
###################################################
#Created by Erika Heinrich 
#Follow Up Mailing List Processor PRO 4.20.03
#Lang file version: 1.0
#Last modified 10/11/2005
###################################################
#########################
#file account_shabl.dat
##########################
#Version 4.21
LINK_CLEAN	clean
REG_ERROR_NAME	Your name:
TEMPLATES_LOCATED_IN	Templates directory - 
PREFERENCES_PAGE_TEMPLATE	Preferences page template
SENDING_DELAY_DESCR	Warning: Use non-zero value only if you have problems with performance on your server or a limit for sending messages. Script will wait before sending each message in your broadcast queue and it will slowdown sending speed. For example your server can send 10 messages per second (36000 messages per hour) if delay is 1 second/mess delay will be 36000 seconds = 10 hours and script will send all messages in 11 hours.
SENDING_DELAY	Delay between sending each message in seconds
REDIR_ALREADYREMOVED_DISCR	This value will be used for all accounts
REDIR_ALREADYREMOVED_TO	"Already removed" page URL
REDIR_ALREADYSUSCR_TO	"Already subscribed" page URL
READ_MORE	Read more...
NO_MSGS_HISTORY_FOUND	No messages found in your history.
YOUR_WEB_HISTORY	Your online message history.
RSS_DEF_ENC	Default - preferred
RSS_SCRIPT_PARAM	Input script parameter name
RSS_SCRIPT_URL	Input script URL
RSS_TEXTINPUT	Text input settings
RSS_USETEXT_INPUT	Use text input section
RSS_ENCODING	Channel encoding
RSS_LANG	Channel language
RSS_COPYLINE	Copyright text
RSS_TITLE	Title
RSS_DISCR	Description
RSS_URL	Your site URL
PERSONAL_RSS_LINK	By clicking this link your prospect will be able to subscribe to the personalized RSS-feed from your messages
PERSONAL_HTML_LINK	By clicking this link your prospect will be able to view the personalized HTML archive of your messages
TAGS_RSS_LINK_DISCR	Links to personalized RSS and HTML newsfeed archive
TAGS_RSS_LINK	RSS-link
TAGS_HTML_LINK	HTML archive link
SAVE_MESSAGE_IN_USER_HISTORY	Save current message into personalized RSS-feed
RSS_LINK	Link to your homepage
RSS_MAIN_SETTINGS	Main RSS settings
RSS_SETTINGS	RSS 2.0 Channel settings
ACCOUNTMENU_HTML_RSS	RSS Channel
ACCOUNTMENU_HTML_RSS_DESCR	Here you can set up your RSS channel.
NOTIFY_ABOUT_MODIFICATIONS	Enable admin notification:
ERROR_CONFIRM_SUBJ_NOT_DEFINED	Error: confirmation message subject is not defined - please check your account options
ERROR_CONFIRM_BODY_NOT_DEFINED	Error: confirmation message body is not defined - please check your account options
ERROR_NOT_ALLOWED_TO_MODIFY	Sorry, but you are not allowed to modify your contact information
ERROR_TAG_CONFIRM_REQUIRED	<B>[CONFIRM_URL]</B> tag required
CONFIRMATION_MESSAGE_SUBJECT	Confirmation message subject
CONFIRMATION_MESSAGE_TEXT	Confirmation message body
DISABLE_MODIFY_SERVICE	Restrict access to users preferences page:
DISABLE_MODIFY_SERVICE_DISCR	Access to modify contact information page will be restricted
ALLOW_MODIFY_MESSAGES_FORMAT	Allow to change message format:
MODIFY_CONTACT_INFORMATION	Modification contact information by subscribers
SAVE_CONTACT_INFO	Update your settings
NAME	Your name
YOUR_CONTACT_INFO	Your preferences
CHANGE_YOUR_PREF	Change your preferences
HTML_ONLY	HTML only
TEXT_ONLY	TEXT only
HTML_AND_TEXT	HTML and TEXT
MSG_TEXT_FORMAT	Your message in TEXT format
MSG_HTML_FORMAT	Your message in HTML format
MSG_RSS_FORMAT	Your RSS-feed description text (500 characters max.)
DEFAULT_MESSAGE_TYPE	Default message type
DEFAULT_MESSAGE_TYPE_DISCR	If your subscribers did not select the preferred message format, the message will be sent to your subscribers in the default format
INSERT_SPECIAL_TAG	<br>Click on link below to insert personalization tag
CLICK_HERE_TO_INSERT	Click here to insert a special tag
TAGS_CHANGE_CONTACT_INFO	Modify contact info
TAGS_UNSUBSCRIBE_LINK	Unsubscribe link
TAGS_FNAME	First name
TAGS_FULLNAME	Full name
TAGS_DATE	Date
TAGS_REGDATE	Registration date
TAGS_EMAIL	Email
TAGS_PERSONAL_INFO	Personal info
TAGS_CUSTOM_FIELDS	Custom fields
TAGS_TEMPLATES	Templates
TAGS_LINKTRACK	Link tracking
TAGS_ONE_CLICK_SUBSCRIBE	One click subscribe link to another account
TAGS_ONE_CLICK_SUBSCRIBE_LINK	Subscribe to
HTML_EDIT_DISABLE	Click here to <B>DISABLE</B> online HTML editor
HTML_EDIT_ENABLE	Click here to <B>ENABLE</B> online HTML editor
HTML_EDITOR_ENABLED	Your online HTML editor is <B>enabled</B>. Please save your message and reload edit message page to update the content.<br>
HTML_EDITOR_DISABLED	Your online HTML editor is <B>disabled</B>. Please save your message and reload edit message page to update the content.<br>
TEST_SEND_LINK	Test&nbsp;send
PLEASE_CHOICE_FOFMAT	Select message format
TYPE_MESS	Format	Format
MESS_ACTIVE	Active
MESS_INACTIVE	Inactive
