English	utf-8
#First line must have format:
#LANGNAME<TAB>ENCODING
###################################################
#Created by Konstantin Ursaloff, Andrey Stepanuk and
#Dick Schiferli
#Follow Up Mailing List Processor PRO 5.01
#Last modified 07/01/2009
###################################################
#Version 5.1
NO_SUBS_OR_UNSUBS_THIS_DATE	Nobody subscribed or unsubscribed this date
ACCOUNTS_PROSPECTS	Accounts prospects.
TO_UNSUBSCRIBE_CLICK_LINK_BELOW	To unsubscribe click on the link below:
HTML_FORM_SUSPEND_ACCOUNTS	Select accounts where you automatically want to suspend prospects<br>when they subscribe to this account.
HTML_FORM_SUSPEND_ALL	Suspend on all other accounts
HTML_FORM_LOCK_ACCOUNTS	Select accounts where you automatically want to lock prospects<br>when they subscribe to this account.
HTML_FORM_LOCK_ALL	Lock on all other accounts
MAIN_MENU	Main Menu
ADMIN_CONTROL_PANEL	Admin Control Panel
LOGO	<img src="content.cgi?get=image&f=fumplogo&mode=png">
LOGO_SM	<img src="content.cgi?get=image&f=fumplogo_sm&mode=gif">
#Version 5.01.03
PHP_INTEGRATION	PHP Integration
PHP_INTEGRATION_DESCR	This PHP code will help you emulate posting to the account registration code. You can use this function in your PHP scripts to post information to FUMP.
AJAX_INTEGRATION	JavaScript Ajax	Integration
AJAX_INTEGRATION_DESCR	This code can be inserted into HTML code and will be executed on client side. You can add this function in onSubmit form event.
#Version 5.01
BTN_DEL_ALL_MSGS	Delete all messages
MAIN_HEADER	Follow Up Mailing List Processor Admin Control Panel v{VERSION}
BROADCAST_MESSAGES_WAS_SENT1	messages where sent
BROADCAST_MESSAGES_WAS_SENT2	left
BROADCAST_SENDER_PROCESS_FINISHED	Sender process completed
BROADCAST_SENDER_PROCESS_STARTED	Sender process started
BROADCAST_DISTRIBUTION_STARTED	Concurrent message distribution started
BROADCAST_DISTRIBUTION_FINISHED	Concurrent message distribution completed
BROADCAST_NO_MESS	No messages to send
BROADCAST_DELETE_DOI	User
BROADCAST_DELETE_DOI2	was deleted from account
BROADCAST_DELETE_DOI3	after DOI time limit
BROADCAST_POP3_FINISHED	POP3 receiving completed
BROADCAST_POP3_CANT_FETCH	Couldn't retrieve the message from server, ID
BROADCAST_POP3_ERROR5	Please check configuration settings in the account options
BROADCAST_POP3_ERROR4	POP3 user
BROADCAST_POP3_ERROR3	Cannot authenticate POP3 settings (POP3 server
BROADCAST_POP3_ERROR2	Cannot open connection to
BROADCAST_POP3_ERROR	Error in account options
BROADCAST_POP3_PROCESS_STARTED	POP3 receive process started for account
BROADCAST_ADDING_NEW_SUBSCRIBER	Subscribe by email: Adding new subscriber
BROADCAST_ADDING_NEW_SUBSCRIBER2	to account
BROADCAST_ALREADY_SUBSCRIBED	Subscribe by email: Email already exists in database
BROADCAST_IS_SUBSCRIBE_ADDR2	This is your subscribe mail address - ignoring
BROADCAST_IS_SUBSCRIBE_ADDR	Subscribe by email: Received email from
BROADCAST_EMAIL_BANNED	Subscribe by email: Email was banned
BROADCAST_INCORRECT_EMAIL	Subscribe by email: Incorrect email
BROADCAST_CANT_FIND_EMAIL	Subscribe by email: Cannot find email address in
DAILY_REPORT_SUBJ	Daily report
DAILY_REPORT_FROM_NAME	FUMP Broadcaster
BROADCAST_SEQ_WAS_RESTARTED2	prospects
BROADCAST_SEQ_WAS_RESTARTED	sequence was restarted for
BROADCAST_FOLLOWUP	Follow up messages
BROADCAST_SEQUENCE_REPEAT_ERR	Follow up messages error: Cannot process sequence repeating because message with ID
BROADCAST_SEQUENCE_REPEAT_ERR2	was not found in account
BROADCAST_CHECKING_SEQUENTIAL	Check if follow up messages need to be sent
BROADCAST_NEED_TO_SEND	need to send
BROADCAST_NEED_TO_SEND2	messages
BROADCAST_MANUAL_AND_SCHEDULED	Manual and scheduled messages
BROADCAST_CHECKING_MANUAL	Check if manual or scheduled messages need to be sent
BROADCAST_BOUNCED_DELETING_FINISHED	Deleting finished
BROADCAST_BOUNCED_NEED_TO_DELETE	Deleting
BROADCAST_BOUNCED_NEED_TO_DELETE2	messages from the mailbox
BROADCAST_BOUNCED_DOWNLOADING_MESSAGES	Downloading messages list
BROADCAST_BOUNCED_ERR_TODELMESS	to delete messages
BROADCAST_BOUNCED_DELETING	Deleting bounced messages in account
BROADCAST_BOUNCED_ERR_INCORRECT_LOGIN	Error: Incorrect username and password at
BROADCAST_BOUNCED_CANT_PARSE_MESS	Error: Cannot parse message:
BROADCAST_BOUNCED_NEW_MESSAGES	new messages in the mailbox
BROADCAST_BOUNCED_WE_HAVE	We have
BROADCAST_BOUNCED_POP3ERROR2	to receive bounce messages
BROADCAST_BOUNCED_POP3ERROR	Error: Cannot connect to POP3 server
BROADCAST_PROCESSING_BOUNCED_ACCOUNT	Processing bounce account
